Country,2007,2008,2014,2015,2022,2023
Afghanistan,38.7,36.5,30.6,30.4,29.9,30.6
Albania,15.8,15.5,9.2,8.8,6.2,6.1
Algeria,11.4,11.1,8.7,8.5,6.9,6.8
Angola,44.7,42.9,26.2,25.7,25.9,25.9
Argentina,5.5,5.5,5.0,5.3,6.8,6.4
Armenia,12.1,11.7,7.3,6.3,6.9,5.6
Azerbaijan,15.3,15.0,9.3,9.3,7.5,6.9
Bangladesh,31.3,30.6,26.3,26.2,19.6,19.0
Belarus,3.0,3.0,3.0,3.0,3.0,3.0
Benin,26.9,26.4,23.2,23.3,21.7,22.6
Bolivia (Plurinational State of),22.0,22.1,14.7,14.7,13.2,15.6
Bosnia & Herzegovina,6.6,6.5,3.0,5.3,3.0,3.0
Botswana,25.8,26.8,20.5,22.2,20.0,19.9
Brazil,7.1,6.8,5.0,5.4,5.4,6.7
Bulgaria,7.9,7.7,7.4,7.3,5.9,5.4
Burkina Faso,34.5,33.7,26.5,28.0,24.5,25.5
Cabo Verde,11.9,12.4,12.1,14.6,11.8,12.4
Cambodia,26.1,25.6,20.1,19.0,17.1,14.9
Cameroon,29.9,29.0,21.4,20.7,18.9,18.6
Central African Rep.,46.8,43.7,44.6,44.0,44.0,42.3
Chad,49.0,49.9,40.7,40.1,37.2,34.6
Chile,3.0,3.0,3.0,3.0,3.0,3.0
China,7.8,7.1,3.0,3.0,3.0,3.0
Colombia,11.2,10.2,8.6,7.5,7.6,7.0
Comoros,31.7,30.4,29.1,24.0,26.9,22.7
Congo (Republic of),33.7,32.4,25.3,26.2,28.1,28.0
Costa Rica,3.0,3.0,3.0,3.0,5.3,5.1
Croatia,3.0,36.0,3.0,22.1,3.0,20.6
Côte d'Ivoire,35.8,3.0,22.7,3.0,16.8,3.0
Dem. Rep. of the Congo,43.2,40.2,38.7,36.4,37.8,35.7
Djibouti,35.8,33.9,27.4,29.6,21.5,23.0
Dominican Republic,13.9,13.9,9.8,9.4,8.8,8.6
Ecuador,18.6,18.1,11.7,11.7,15.2,14.5
Egypt,17.2,16.9,14.6,15.2,12.3,12.8
El Salvador,12.1,12.0,10.4,9.8,8.4,8.1
Estonia,3.0,3.0,3.0,3.0,3.0,3.0
Eswatini,22.9,25.0,18.4,19.3,16.3,17.3
Ethiopia,42.6,40.5,27.4,26.5,27.6,26.2
Fiji,8.5,8.6,9.3,10.4,9.2,9.7
Gabon,20.3,20.2,16.5,17.3,17.2,18.7
Gambia,26.5,24.9,22.2,24.3,20.7,19.7
Georgia,7.8,6.6,6.1,3.0,5.7,3.0
Ghana,22.1,22.2,15.5,15.7,13.9,13.7
Guatemala,24.1,24.0,21.7,20.6,18.8,19.1
Guinea-Bissau,31.0,29.6,30.2,33.3,30.8,33.0
Guyana,15.8,15.1,12.4,11.3,10.4,9.3
Haiti,41.7,40.2,32.6,30.1,32.7,31.1
Honduras,19.2,19.2,14.1,15.0,13.4,14.9
Hungary,3.0,5.6,3.0,5.0,3.0,3.0
India,36.3,35.5,28.2,29.2,29.1,28.7
Indonesia,29.1,28.5,22.2,21.9,17.9,17.6
Iran (Islamic Republic of),8.8,8.8,7.4,7.7,6.5,7.7
Iraq,20.8,20.3,16.6,16.5,13.7,13.8
Jamaica,8.1,8.6,8.8,8.6,7.0,7.5
Kazakhstan,11.6,11.0,5.8,5.7,5.9,5.5
Kenya,31.1,29.5,21.6,22.5,23.5,22.0
Korea (DPR),29.6,30.4,27.5,24.8,24.9,27.8
Kuwait,3.0,3.0,3.0,3.0,3.0,3.0
Kyrgyz Republic,13.6,12.9,9.4,9.1,7.8,7.5
Lao PDR,31.4,30.4,22.5,21.8,19.2,16.3
Latvia,3.0,3.0,3.0,3.0,3.0,3.0
Lesotho,29.1,27.8,29.3,30.6,32.4,35.5
Liberia,39.0,36.4,34.8,32.9,32.4,32.2
Lithuania,3.0,5.1,3.0,3.0,3.0,3.0
Madagascar,37.2,36.6,37.3,38.9,38.7,41.0
Malawi,32.5,29.2,24.1,22.9,20.7,21.1
Malaysia,13.8,13.7,10.9,12.0,12.5,12.5
Mali,35.7,32.2,26.1,27.1,23.2,25.6
Mauritania,28.3,18.8,26.3,22.4,20.7,21.0
Mauritius,14.1,13.9,13.0,13.5,13.4,13.6
Mexico,8.5,9.9,7.0,6.7,8.1,6.0
Moldova,20.3,17.0,6.8,3.0,6.9,3.0
Mongolia,21.8,16.7,9.2,7.4,5.7,7.5
Morocco,12.4,12.2,9.6,9.1,9.2,9.0
Myanmar,29.4,29.7,17.9,17.3,15.6,16.1
Namibia,26.8,29.2,22.9,22.2,18.7,18.0
Nepal,30.0,29.0,21.2,21.3,19.1,15.0
Nicaragua,17.9,17.5,15.5,14.6,13.6,13.0
Niger,40.2,39.5,32.8,35.2,32.6,35.1
Nigeria,32.1,31.2,28.4,27.8,27.3,28.3
North Macedonia,7.2,5.3,3.0,5.3,3.0,3.0
Oman,11.5,11.2,11.5,11.2,13.0,8.3
Pakistan,32.1,31.3,29.6,28.8,26.1,26.6
Panama,14.0,13.0,9.4,8.7,8.1,7.9
Papua New Guinea,29.9,32.9,29.0,28.5,26.5,27.4
Paraguay,11.4,10.1,8.1,5.1,8.0,6.0
Peru,15.0,14.0,7.6,7.7,7.6,7.2
Philippines,19.5,19.1,18.8,18.3,14.8,14.8
Romania,5.8,5.8,5.1,5.1,3.0,3.0
Russian Federation,7.1,5.8,6.7,6.3,6.4,5.8
Rwanda,35.9,33.1,29.5,28.3,27.2,25.4
Saudi Arabia,12.2,10.6,7.4,9.1,6.7,7.3
Senegal,22.8,21.8,17.6,18.0,15.6,15.0
Sierra Leone,51.1,45.4,33.1,32.8,31.5,31.3
Slovak Republic,5.9,5.7,5.7,5.7,3.0,3.0
Solomon Islands,18.1,18.2,22.3,23.4,19.4,19.6
South Africa,17.2,16.8,12.7,13.9,12.9,13.0
Sri Lanka,18.9,17.6,17.3,17.1,13.6,13.3
Suriname,11.3,11.0,10.0,10.6,10.2,10.4
Tajikistan,32.9,29.9,20.6,16.9,13.9,13.7
Tanzania (United Republic of),30.9,30.2,25.5,24.6,23.6,23.2
Thailand,12.1,12.2,11.9,9.4,12.0,10.4
Togo,30.2,29.6,26.1,25.7,22.8,21.1
Trinidad & Tobago,10.7,10.7,8.8,10.7,9.0,10.8
Tunisia,7.6,7.4,6.7,6.4,6.1,5.9
Turkmenistan,14.6,5.7,10.6,3.0,9.5,3.0
Türkiye,5.8,14.5,3.0,11.4,3.0,10.3
Ukraine,7.2,7.1,7.2,7.1,7.5,8.2
United Arab Emirates,6.5,6.8,5.9,5.6,5.3,3.0
Uruguay,6.5,5.3,3.0,3.0,3.0,3.0
Uzbekistan,15.4,14.9,8.3,5.9,5.6,5.0
Venezuela (Bolivarian Republic of),10.1,8.8,8.1,11.1,19.9,17.3
Viet Nam,21.4,20.1,15.4,14.5,11.9,11.4
Yemen,38.4,37.8,41.7,42.1,45.1,39.9
Zambia,46.0,44.9,35.2,33.2,29.3,28.5
